Ref,Qty,Target_Value,Target_Footprint,Target_Voltage,Target_CapType,Search_Query,Existing_MPN,Existing_Mouser_PN,Suggested_MPN,Suggested_Mouser_PN,Notes
R209,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R210,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R211,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R212,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R213,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R214,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R215,1,22.1k,0402,,,Resistor 1% thin film 22.1k 0402,,,RT0402FRD0722K1L,603-RT0402FRD0722K1L,"Stock: 25468 In Stock, Price: $0.17, WARNING: Footprint mismatch? (Expected 0402)"
R216,1,8.06k,0603,,,Resistor 1% thin film 8.06k 0603,,,MCT06030C8061FP500,594-MCT06030C8061FP5,"Stock: 13980 In Stock, Price: $0.16"
R217,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R218,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R219,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R220,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R301,1,47k,0402,,,Resistor 1% thin film 47k 0402,,,RT0402FRE1347KL,603-RT0402FRE1347KL,"Stock: 38785 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R302,1,47k,0402,,,Resistor 1% thin film 47k 0402,,,RT0402FRE1347KL,603-RT0402FRE1347KL,"Stock: 38785 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R303,1,47k,0402,,,Resistor 1% thin film 47k 0402,,,RT0402FRE1347KL,603-RT0402FRE1347KL,"Stock: 38785 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R304,1,47k,0402,,,Resistor 1% thin film 47k 0402,,,RT0402FRE1347KL,603-RT0402FRE1347KL,"Stock: 38785 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R305,1,47k,0402,,,Resistor 1% thin film 47k 0402,,,RT0402FRE1347KL,603-RT0402FRE1347KL,"Stock: 38785 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R306,1,47k,0402,,,Resistor 1% thin film 47k 0402,,,RT0402FRE1347KL,603-RT0402FRE1347KL,"Stock: 38785 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R307,1,33,0402,,,Resistor 1% thin film 33 0402,,,RT0402FRE0733RL,603-RT0402FRE0733RL,"Stock: N/A, Price: $0.22, WARNING: Footprint mismatch? (Expected 0402)"
R308,1,33,0402,,,Resistor 1% thin film 33 0402,,,RT0402FRE0733RL,603-RT0402FRE0733RL,"Stock: N/A, Price: $0.22, WARNING: Footprint mismatch? (Expected 0402)"
R309,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R310,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R311,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R312,1,22,0402,,,Resistor 1% thin film 22 0402,,,RT0402FRE0722RL,603-RT0402FRE0722RL,"Stock: 18361 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R401,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R501,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R601,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R801,1,34.4,0402,,,Resistor 1% thin film 34.4 0402,,,CRCW06034K42FKTA,71-CRCW0603-4.42K,"Stock: 10721 In Stock, Price: $0.16, WARNING: Footprint mismatch? (Expected 0402); Not Thin Film"
R802,1,562,0402,,,Resistor 1% thin film 562 0402,,,MCS04020C5621FE000,594-MCS04020C5621FE0,"Stock: 5505 In Stock, Price: $0.16"
R803,1,34.4,0402,,,Resistor 1% thin film 34.4 0402,,,CRCW06034K42FKTA,71-CRCW0603-4.42K,"Stock: 10721 In Stock, Price: $0.16, WARNING: Footprint mismatch? (Expected 0402); Not Thin Film"
R901,1,34.4,0402,,,Resistor 1% thin film 34.4 0402,,,CRCW06034K42FKTA,71-CRCW0603-4.42K,"Stock: 10721 In Stock, Price: $0.16, WARNING: Footprint mismatch? (Expected 0402); Not Thin Film"
R902,1,562,0402,,,Resistor 1% thin film 562 0402,,,MCS04020C5621FE000,594-MCS04020C5621FE0,"Stock: 5505 In Stock, Price: $0.16"
R903,1,34.4,0402,,,Resistor 1% thin film 34.4 0402,,,CRCW06034K42FKTA,71-CRCW0603-4.42K,"Stock: 10721 In Stock, Price: $0.16, WARNING: Footprint mismatch? (Expected 0402); Not Thin Film"
R1001,1,34.4,0402,,,Resistor 1% thin film 34.4 0402,,,CRCW06034K42FKTA,71-CRCW0603-4.42K,"Stock: 10721 In Stock, Price: $0.16, WARNING: Footprint mismatch? (Expected 0402); Not Thin Film"
R1002,1,562,0402,,,Resistor 1% thin film 562 0402,,,MCS04020C5621FE000,594-MCS04020C5621FE0,"Stock: 5505 In Stock, Price: $0.16"
R1003,1,34.4,0402,,,Resistor 1% thin film 34.4 0402,,,CRCW06034K42FKTA,71-CRCW0603-4.42K,"Stock: 10721 In Stock, Price: $0.16, WARNING: Footprint mismatch? (Expected 0402); Not Thin Film"
R1101,1,34.4,0402,,,Resistor 1% thin film 34.4 0402,,,CRCW06034K42FKTA,71-CRCW0603-4.42K,"Stock: 10721 In Stock, Price: $0.16, WARNING: Footprint mismatch? (Expected 0402); Not Thin Film"
R1102,1,562,0402,,,Resistor 1% thin film 562 0402,,,MCS04020C5621FE000,594-MCS04020C5621FE0,"Stock: 5505 In Stock, Price: $0.16"
R1103,1,34.4,0402,,,Resistor 1% thin film 34.4 0402,,,CRCW06034K42FKTA,71-CRCW0603-4.42K,"Stock: 10721 In Stock, Price: $0.16, WARNING: Footprint mismatch? (Expected 0402); Not Thin Film"
R1301,1,57.6k,0402,,,Resistor 1% thin film 57.6k 0402,,,RT0402FRE0757K6L,603-RT0402FRE0757K6L,"Stock: 26810 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1302,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1303,1,100k,0402,,,Resistor 1% thin film 100k 0402,,,RT0402FRE13100KL,603-RT0402FRE13100KL,"Stock: 73190 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1304,1,22.1k,0402,,,Resistor 1% thin film 22.1k 0402,,,RT0402FRD0722K1L,603-RT0402FRD0722K1L,"Stock: 25468 In Stock, Price: $0.17, WARNING: Footprint mismatch? (Expected 0402)"
R1305,1,1k,0603,,,Resistor 1% thin film 1k 0603,,,TNPW06031K00FHTA,71-TNPW06031K00FHTA,"Stock: 5702 In Stock, Price: $0.39"
R1306,1,5.1k,0603,,,Resistor 1% thin film 5.1k 0603,,,TNPW06035K10FHTA,71-TNPW06035K10FHTA,"Stock: 2150 In Stock, Price: $0.39"
R1307,1,5.1k,0603,,,Resistor 1% thin film 5.1k 0603,,,TNPW06035K10FHTA,71-TNPW06035K10FHTA,"Stock: 2150 In Stock, Price: $0.39"
R1308,1,1k,0603,,,Resistor 1% thin film 1k 0603,,,TNPW06031K00FHTA,71-TNPW06031K00FHTA,"Stock: 5702 In Stock, Price: $0.39"
R1401,1,100k,0402,,,Resistor 1% thin film 100k 0402,,,RT0402FRE13100KL,603-RT0402FRE13100KL,"Stock: 73190 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1402,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1403,1,100k,0402,,,Resistor 1% thin film 100k 0402,,,RT0402FRE13100KL,603-RT0402FRE13100KL,"Stock: 73190 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1404,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1405,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1406,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1407,1,100k,0402,,,Resistor 1% thin film 100k 0402,,,RT0402FRE13100KL,603-RT0402FRE13100KL,"Stock: 73190 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1408,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1409,1,100k,0402,,,Resistor 1% thin film 100k 0402,,,RT0402FRE13100KL,603-RT0402FRE13100KL,"Stock: 73190 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1410,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1411,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1412,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1413,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1414,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1501,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1502,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1503,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1504,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1505,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1506,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1601,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1602,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1603,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1604,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1605,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1606,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1701,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1702,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1703,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1704,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1705,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1706,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1801,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1802,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1803,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1804,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1805,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1806,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1901,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1902,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1903,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1904,1,10k,0402,,,Resistor 1% thin film 10k 0402,,,RT0402FRE07110KL,603-RT0402FRE07110KL,"Stock: 131893 In Stock, Price: $0.10, WARNING: Footprint mismatch? (Expected 0402)"
R1905,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
R1906,1,330,0402,,,Resistor 1% thin film 330 0402,,,CRT0402-FV-3300GLF,652-CRT0402FV3300GLF,"Stock: 7788 In Stock, Price: $0.47"
SW201,1,Push button switch,Panasonic_EVQPUK_EVQPUB,,,Push button switch Panasonic_EVQPUK_EVQPUB,,,AV09C7L3D2406E,642-AV09C7L3D2406E,"Stock: 3 In Stock, Price: $132.76, WARNING: Footprint mismatch? (Expected Panasonic_EVQPUK_EVQPUB)"
U201,1,STM32H753VITx,LQFP-100_14x14mm_P0.5mm,,,STM32H753VITx LQFP-100_14x14mm_P0.5mm,,,,,No parts found
U202,1,USB3343,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,,,USB3343-CP-TR,,USB3343-CP-TR,886-USB3343-CP-TR,"Stock: 1444 In Stock, Price: $1.73, WARNING: Footprint mismatch? (Expected QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm)"
U301,1,OPA1692IDGK,VSSOP-8_3x3mm_P0.65mm,,,OPA1692IDGK VSSOP-8_3x3mm_P0.65mm,,,,,No parts found
U302,1,AK5578EN,QFN50P900X900X100-65N,,,,AK5578EN,412-AK5578EN,AK5578EN,412-AK5578EN,"Stock: 580 In Stock, Price: $20.64, WARNING: Footprint mismatch? (Expected QFN50P900X900X100-65N)"
U401,1,TS3A4751RUCR,TS3A4751-RUC14,,,TS3A4751RUCR TS3A4751-RUC14,,,,,No parts found
U501,1,TS3A4751RUCR,TS3A4751-RUC14,,,TS3A4751RUCR TS3A4751-RUC14,,,,,No parts found
U601,1,TS3A4751RUCR,TS3A4751-RUC14,,,TS3A4751RUCR TS3A4751-RUC14,,,,,No parts found
U701,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U702,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U703,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U704,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U705,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U706,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U707,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U708,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U709,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U710,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U711,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U712,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U801,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U802,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U901,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U902,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U1001,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U1002,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U1101,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U1102,1,AS183-92LF,SOT65P220X110-6N,,,,AS183-92LF,873-AS183-92LF,AS183-92LF,873-AS183-92LF,"Stock: 15810 In Stock, Price: $1.88, WARNING: Footprint mismatch? (Expected SOT65P220X110-6N)"
U1201,1,STM32C011F4U6TR,QFN50P300X300X60-20N-D,,,,ST STM32C011F4U6TR,,ST STM32C011F4U6TR,,No parts found
U1202,1,STM32C011F4U6TR,QFN50P300X300X60-20N-D,,,,ST STM32C011F4U6TR,,ST STM32C011F4U6TR,,No parts found
U1203,1,STM32C011F4U6TR,QFN50P300X300X60-20N-D,,,,ST STM32C011F4U6TR,,ST STM32C011F4U6TR,,No parts found
U1204,1,STM32C011F4U6TR,QFN50P300X300X60-20N-D,,,,ST STM32C011F4U6TR,,ST STM32C011F4U6TR,,No parts found
U1301,1,LMR51430,SOT-23-6,,,LMR51430 SOT-23-6,,,,,No parts found
U1302,1,TPS61023,SOT-563,,,TPS61023 SOT-563,,,TPS61023DRLT,595-TPS61023DRLT,"Stock: 53450 In Stock, Price: $1.27, WARNING: Footprint mismatch? (Expected SOT-563)"
U1303,1,TPS7A2050PDBVR,DBV0005A-MFG,,,TPS7A2050PDBVR DBV0005A-MFG,,,,,No parts found
U1304,1,TPS22918DBVR,SOT-23-6,,,,TPS22918DBVR,595-TPS22918DBVR,TPS22918DBVR,595-TPS22918DBVR,"Stock: 14237 In Stock, Price: $0.49, WARNING: Footprint mismatch? (Expected SOT-23-6)"
U1305,1,TPS7A2033PDBVR,DBV0005A-MFG,,,TPS7A2033PDBVR DBV0005A-MFG,,,,,No parts found
U1306,1,TPS22918DBVR,SOT-23-6,,,,TPS22918DBVR,595-TPS22918DBVR,TPS22918DBVR,595-TPS22918DBVR,"Stock: 14237 In Stock, Price: $0.49, WARNING: Footprint mismatch? (Expected SOT-23-6)"
U1307,1,TPS74612PQWDRBRQ1,SON65P300X300X100-9N-D,,,,TPS74612PQWDRBRQ1,595-PS74612PQWDRBRQ1,TPS74612PQWDRBRQ1,595-PS74612PQWDRBRQ1,"Stock: 5951 In Stock, Price: $1.16, WARNING: Footprint mismatch? (Expected SON65P300X300X100-9N-D)"
U1401,1,MAX9939AUB+T,21-0061L_MXM,,,MAX9939AUB+T 21-0061L_MXM,,,,,No parts found
U1402,1,ICE40UP5K-SG48I,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,,,ICE40UP5K-SG48I QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,,,,,No parts found
U1501,1,MAX9939AUB+T,21-0061L_MXM,,,MAX9939AUB+T 21-0061L_MXM,,,,,No parts found
U1601,1,MAX9939AUB+T,21-0061L_MXM,,,MAX9939AUB+T 21-0061L_MXM,,,,,No parts found
U1701,1,MAX9939AUB+T,21-0061L_MXM,,,MAX9939AUB+T 21-0061L_MXM,,,,,No parts found
U1801,1,MAX9939AUB+T,21-0061L_MXM,,,MAX9939AUB+T 21-0061L_MXM,,,,,No parts found
U1901,1,MAX9939AUB+T,21-0061L_MXM,,,MAX9939AUB+T 21-0061L_MXM,,,,,No parts found
Y201,1,26MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,,,,E2X260181G01,504-E2X260181G01,E2X260181G01,504-E2X260181G01,"Stock: 200 In Stock, Price: $0.26, WARNING: Footprint mismatch? (Expected Crystal_SMD_2520-4Pin_2.5x2.0mm)"
Y202,1,26MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,,,,E2X260181G01,504-E2X260181G01,E2X260181G01,504-E2X260181G01,"Stock: 200 In Stock, Price: $0.26, WARNING: Footprint mismatch? (Expected Crystal_SMD_2520-4Pin_2.5x2.0mm)"
