Ref,Qty,Target_Value,Target_Footprint,Target_Voltage,Target_CapType,Search_Query,Existing_MPN,Existing_Mouser_PN,Suggested_MPN,Suggested_Mouser_PN,Notes
C302,1,2.2uF,CP_EIA-3528-21_Kemet-B,50V,tant,,TMCP1D225MTR2F,74-TMCP1D225MTR2F,TMCP1D225MTR2F,74-TMCP1D225MTR2F,"Stock: 2986 In Stock, Price: $0.42, WARNING: Footprint mismatch? (Expected CP_EIA-3528-21_Kemet-B); Voltage mismatch? (Expected 50V)"
C303,1,10nF,0603,25V,X7R,,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J,"Stock: 7461 In Stock, Price: $0.19, WARNING: Voltage mismatch? (Expected 25V); Dielectric mismatch? (Expected X7R)"
C304,1,10nF,0603,25V,X7R,,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J,GCM1885C2A103JE02J,81-GCM1885C2A103JE2J,"Stock: 7461 In Stock, Price: $0.19, WARNING: Voltage mismatch? (Expected 25V); Dielectric mismatch? (Expected X7R)"
C305,1,2.2uF,CP_EIA-3528-21_Kemet-B,50V,tant,,TMCP1D225MTR2F,74-TMCP1D225MTR2F,TMCP1D225MTR2F,74-TMCP1D225MTR2F,"Stock: 2986 In Stock, Price: $0.42, WARNING: Footprint mismatch? (Expected CP_EIA-3528-21_Kemet-B); Voltage mismatch? (Expected 50V)"
C306,1,2.2uF,CP_EIA-3528-21_Kemet-B,50V,tant,,TMCP1D225MTR2F,74-TMCP1D225MTR2F,TMCP1D225MTR2F,74-TMCP1D225MTR2F,"Stock: 2986 In Stock, Price: $0.42, WARNING: Footprint mismatch? (Expected CP_EIA-3528-21_Kemet-B); Voltage mismatch? (Expected 50V)"
C307,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C308,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C309,1,4.7uF,0805,10V,tant,,298D475X9010M2T,74-298D475X9010M2T,298D475X9010M2T,74-298D475X9010M2T,"Stock: 6346 In Stock, Price: $1.15, WARNING: Footprint mismatch? (Expected 0805)"
C310,1,10uF,0805,50V,tant,,TAJD106K050RNJ,581-TAJD106K050R,TAJD106K050RNJ,581-TAJD106K050R,"Stock: 24079 In Stock, Price: $1.60, WARNING: Footprint mismatch? (Expected 0805)"
C311,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C312,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C313,1,10uF,0805,50V,tant,,TAJD106K050RNJ,581-TAJD106K050R,TAJD106K050RNJ,581-TAJD106K050R,"Stock: 24079 In Stock, Price: $1.60, WARNING: Footprint mismatch? (Expected 0805)"
C314,1,4.7uF,0805,10V,tant,,298D475X9010M2T,74-298D475X9010M2T,298D475X9010M2T,74-298D475X9010M2T,"Stock: 6346 In Stock, Price: $1.15, WARNING: Footprint mismatch? (Expected 0805)"
C315,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C316,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C317,1,10uF,0805,50V,tant,,TAJD106K050RNJ,581-TAJD106K050R,TAJD106K050RNJ,581-TAJD106K050R,"Stock: 24079 In Stock, Price: $1.60, WARNING: Footprint mismatch? (Expected 0805)"
C318,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C319,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C320,1,10uF,0805,50V,tant,,TAJD106K050RNJ,581-TAJD106K050R,TAJD106K050RNJ,581-TAJD106K050R,"Stock: 24079 In Stock, Price: $1.60, WARNING: Footprint mismatch? (Expected 0805)"
C321,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C401,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C402,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C403,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C404,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C405,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C406,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C407,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C408,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C501,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C502,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C503,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C504,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C505,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C506,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C507,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C508,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C601,1,100nF,1206,50V,NP0,,GRM3195C2A104JA01D,81-GRM31C5C2A104JA1L,GRM31C5C2A104JA01L,81-GRM31C5C2A104JA1L,"Stock: 98915 In Stock, Price: $0.51, WARNING: Voltage mismatch? (Expected 50V)"
C602,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C603,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C604,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C605,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C606,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C607,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C608,1,470pF,0603,50V,NP0,,KGM15ACG1H471FT,581-KGM15ACG1H471FT,KGM15ACG1H471FT,581-KGM15ACG1H471FT,"Stock: N/A, Price: $0.33"
C701,1,8pF,0603,50V,NP0,,CGA3E2C0G1H080D080AA,810-CGA3E2C0G1H080D,CGA3E2C0G1H080D080AA,810-CGA3E2C0G1H080D,"Stock: 61594 In Stock, Price: $0.14"
C702,1,16pF,0603,50V,NP0,,CGA3E2C0G1H150J080AA,810-CGA3E2C0G1H150J,CGA3E2C0G1H150J080AA,810-CGA3E2C0G1H150J,"Stock: 11092 In Stock, Price: $0.14"
C703,1,32pF,0603,50V,NP0,,CGA3E2C0G1H330J080AA,810-CGA3E2C0G1H330J,CGA3E2C0G1H330J080AA,810-CGA3E2C0G1H330J,"Stock: 19063 In Stock, Price: $0.14"
C704,1,68pF,0603,50V,NP0,,CGA3E2C0G1H680J080AA,810-CGA3E2C0G1H680J,CGA3E2C0G1H680J080AA,810-CGA3E2C0G1H680J,"Stock: 9557 In Stock, Price: $0.14"
